,player,AD,VI,Ø,club,fixture,time,date
5861,Jizz Hornkamp,5.0,5.0,5,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5862,Elton Kabangu,---,---,---,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5863,Mats Köhlert,5.0,5.5,5.25,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5864,Derrick Köhn,---,---,---,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5865,Ché Nunnely,4.5,4.5,4.5,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5866,Thijs Oosting,5.0,5.0,5,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5867,Leeroy Owusu,4.5,6.5,5.5,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5868,Pol Llonch,---,---,---,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5869,Driess Saddiki,4.5,5.0,4.75,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5870,Max Svensson,5.0,5.5,5.25,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5871,Timon Wellenreuther,5.5,6.0,5.75,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5872,Team Ø,5.18,5.68,,Willem II,Sparta Rotterdam - Willem II,12:15,13 Februari 2022
5873,Nikolai Baden Frederiksen,5.0,5.0,5,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5874,Riechedly Bazoer,5.5,6.0,5.75,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5875,Matúš Bero,5.5,5.0,5.25,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5876,Thomas Buitink,5.0,5.5,5.25,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5877,Eli Dasa,5.5,6.5,6,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5878,Danilho Doekhi,6.5,6.0,6.25,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5879,Toni Domgjoni,5.0,5.0,5,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5880,Yann Gboho,5.0,5.5,5.25,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5881,Daan Huisman,5.0,5.5,5.25,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5882,Million Manhoef,---,---,---,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5883,Loïs Openda,5.0,5.0,5,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5884,Dominik Oroz,6.0,6.0,6,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5885,Jacob Rasmussen,5.5,6.5,6,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5886,Markus Schubert,5.0,5.5,5.25,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5887,Sondre Tronstad,5.5,5.0,5.25,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5888,Patrick Vroegh,5.5,5.5,5.5,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5889,Maximilian Wittek,5.5,5.5,5.5,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5890,Team Ø,5.38,5.56,,Vitesse,Vitesse - AZ Alkmaar,20:00,28 November 2021
5891,Zakaria Aboukhlal,---,---,---,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5892,Sam Beukema,6.0,7.0,6.5,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5893,Jordy Clasie,5.5,5.5,5.5,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5894,Dani de Wit,5.5,4.5,5,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5895,Albert Guðmundsson,---,---,---,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5896,Pantelis Hatzidiakos,5.0,5.5,5.25,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5897,Jesper Karlsson,5.0,5.5,5.25,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5898,Bruno Martins Indi,6.0,6.5,6.25,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5899,Fredrik Midtsjø,5.5,5.5,5.5,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5900,Vangelis Pavlidis,5.0,4.0,4.5,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5901,Tijjani Reijnders,---,---,---,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5902,Yukinari Sugawara,---,---,---,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5903,Peter Vindahl Jensen,6.0,6.0,6,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5904,Owen Wijndal,6.0,5.0,5.5,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5905,Aslak Witry,6.0,6.0,6,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5906,Team Ø,5.59,5.55,,AZ Alkmaar,Vitesse - AZ Alkmaar,20:00,28 November 2021
5907,Nikolai Baden Frederiksen,---,---,---,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5908,Matúš Bero,6.0,6.0,6,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5909,Thomas Buitink,6.5,5.0,5.75,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5910,Enzo Cornelisse,5.5,6.5,6,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5911,Eli Dasa,4.5,5.0,4.75,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5912,Danilho Doekhi,5.5,6.0,5.75,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5913,Toni Domgjoni,4.5,5.5,5,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5914,Adrian Grbić,4.5,5.5,5,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5915,Tomáš Hajek,---,---,---,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5916,Jeroen Houwen,5.0,6.0,5.5,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5917,Daan Huisman,5.0,6.5,5.75,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5918,Loïs Openda,4.0,5.0,4.5,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5919,Dominik Oroz,6.0,7.0,6.5,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5920,Jacob Rasmussen,5.5,6.5,6,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5921,Patrick Vroegh,5.0,6.0,5.5,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5922,Maximilian Wittek,5.5,6.0,5.75,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5923,Team Ø,5.21,5.89,,Vitesse,Vitesse - FC Groningen,18:45,22 Januari 2022
5924,Paulos Abraham,6.0,6.0,6,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5925,Melayro Bogarde,6.0,6.0,6,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5926,Wessel Dammers,---,---,---,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5927,Damil Dankerlui,5.5,6.0,5.75,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5928,Michael de Leeuw,6.0,5.5,5.75,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5929,Mo el Hankouri,---,---,---,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5930,Neraysho Kasanwirjo,6.5,7.0,6.75,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5931,Peter Leeuwenburgh,5.0,5.5,5.25,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5932,Bjorn Meijer,6.0,6.5,6.25,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5933,Romano Postema,---,---,---,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5934,Jørgen Strand Larsen,7.0,7.5,7.25,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5935,Tomáš Suslov,7.0,7.0,7,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5936,Marin Šverko,---,---,---,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5937,Mike te Wierik,5.0,6.5,5.75,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5938,Bart van Hintum,6.0,7.0,6.5,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5939,Daniël van Kaam,---,---,---,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5940,Team Ø,6,6.41,,FC Groningen,Vitesse - FC Groningen,18:45,22 Januari 2022
5941,Nikolai Baden Frederiksen,4.5,5.0,4.75,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5942,Riechedly Bazoer,5.0,6.0,5.5,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5943,Matúš Bero,5.0,5.0,5,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5944,Thomas Buitink,---,---,---,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5945,Enzo Cornelisse,5.0,5.5,5.25,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5946,Oussama Darfalou,6.0,7.0,6.5,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5947,Eli Dasa,5.0,5.5,5.25,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5948,Danilho Doekhi,5.0,4.5,4.75,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5949,Yann Gboho,5.0,5.5,5.25,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5950,Loïs Openda,4.5,5.5,5,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5951,Jacob Rasmussen,4.5,5.5,5,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5952,Markus Schubert,5.0,4.5,4.75,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5953,Oussama Tannane,5.0,5.5,5.25,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5954,Sondre Tronstad,5.0,5.5,5.25,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5955,Patrick Vroegh,5.0,6.0,5.5,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5956,Maximilian Wittek,5.5,7.0,6.25,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5957,Team Ø,5,5.57,,Vitesse,Vitesse - FC Twente,16:45,19 September 2021
5958,Wout Brama,6.0,6.5,6.25,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5959,Denilho Cleonise,---,---,---,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5960,Dario Dumić,---,---,---,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5961,Mees Hilgers,6.5,6.5,6.5,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5962,Dimitris Limnios,5.0,6.0,5.5,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5963,Virgil Misidjan,---,---,---,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5964,Robin Pröpper,7.5,8.0,7.75,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5965,Daan Rots,6.5,6.5,6.5,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5966,Michal Sadílek,6.5,6.5,6.5,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5967,Gijs Smal,---,---,---,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5968,Giovanni Troupée,6.0,7.0,6.5,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5969,Manfred Ugalde,---,---,---,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5970,Lars Unnerstall,7.5,7.0,7.25,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5971,Ricky van Wolfswinkel,6.0,7.0,6.5,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5972,Michel Vlap,5.5,6.5,6,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5973,Ramiz Zerrouki,6.0,6.0,6,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5974,Team Ø,6.27,6.68,,FC Twente,Vitesse - FC Twente,16:45,19 September 2021
5975,Nikolai Baden Frederiksen,6.5,7.0,6.75,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5976,Riechedly Bazoer,8.0,7.5,7.75,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5977,Matúš Bero,7.5,6.5,7,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5978,Thomas Buitink,6.0,6.0,6,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5979,Oussama Darfalou,---,---,---,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5980,Eli Dasa,7.0,6.5,6.75,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5981,Danilho Doekhi,6.5,7.0,6.75,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5982,Daan Huisman,---,---,---,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5983,Loïs Openda,6.0,6.5,6.25,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5984,Dominik Oroz,---,---,---,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5985,Jacob Rasmussen,6.5,7.0,6.75,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5986,Markus Schubert,4.0,5.5,4.75,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5987,Sondre Tronstad,7.0,6.5,6.75,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5988,Patrick Vroegh,---,---,---,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5989,Maximilian Wittek,7.0,6.0,6.5,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5990,Team Ø,6.55,6.55,,Vitesse,Vitesse - FC Utrecht,16:45,7 November 2021
5991,Remco Balk,---,---,---,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
5992,Benaissa Benamar,4.5,5.5,5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
5993,Othmane Boussaid,5.0,5.0,5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
5994,Anastasios Douvikas,5.0,6.0,5.5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
5995,Willem Janssen,4.5,5.0,4.75,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
5996,Adam Maher,6.0,5.5,5.75,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
5997,Mimoun Mahi,---,---,---,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
5998,Mohamed Mallahi,---,---,---,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
5999,Maarten Paes,7.0,7.0,7,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6000,Bart Ramselaar,5.5,5.5,5.5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6001,Moussa Sylla,5.0,5.0,5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6002,Hidde ter Avest,5.5,6.0,5.75,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6003,Quinten Timber,5.0,6.0,5.5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6004,Sander van de Streek,5.0,6.0,5.5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6005,Django Warmerdam,5.5,5.5,5.5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6006,Arthur Zagre,6.0,7.0,6.5,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6007,Team Ø,5.35,5.77,,FC Utrecht,Vitesse - FC Utrecht,16:45,7 November 2021
6008,Riechedly Bazoer,7.0,7.0,7,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6009,Matúš Bero,6.0,5.5,5.75,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6010,Thomas Buitink,---,---,---,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6011,Oussama Darfalou,5.5,5.5,5.5,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6012,Eli Dasa,6.5,7.0,6.75,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6013,Danilho Doekhi,7.0,6.5,6.75,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6014,Yann Gboho,6.5,6.0,6.25,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6015,Tomáš Hajek,---,---,---,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6016,Jeroen Houwen,7.0,6.0,6.5,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6017,Loïs Openda,8.0,8.0,8,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6018,Dominik Oroz,---,---,---,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6019,Jacob Rasmussen,7.0,6.5,6.75,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6020,Sondre Tronstad,7.5,6.0,6.75,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6021,Patrick Vroegh,---,---,---,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6022,Maximilian Wittek,6.0,7.0,6.5,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6023,Team Ø,6.73,6.45,,Vitesse,Vitesse - Feyenoord,16:45,3 Oktober 2021
6024,Fredrik Aursnes,6.0,6.0,6,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6025,Justin Bijlow,6.5,6.0,6.25,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6026,Cyriel Dessers,---,---,---,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6027,Lutsharel Geertruida,5.0,5.5,5.25,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6028,Alireza Jahanbakhsh,5.0,4.5,4.75,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6029,Orkun Kökçü,6.0,6.5,6.25,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6030,Bryan Linssen,5.0,6.0,5.5,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6031,Tyrell Malacia,6.0,5.0,5.5,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6032,Marcus Pedersen,6.5,6.5,6.5,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6033,Marcos Senesi,---,---,---,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6034,Luis Sinisterra,6.0,6.0,6,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6035,Guus Til,6.0,6.5,6.25,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6036,Jens Toornstra,---,6.0,6,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6037,Gernot Trauner,7.0,6.5,6.75,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6038,Team Ø,5.91,5.92,,Feyenoord,Vitesse - Feyenoord,16:45,3 Oktober 2021
6039,Nikolai Baden Frederiksen,6.0,7.0,6.5,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6040,Riechedly Bazoer,6.5,7.5,7,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6041,Matúš Bero,6.5,6.0,6.25,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6042,Oussama Darfalou,5.0,5.5,5.25,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6043,Eli Dasa,6.0,7.0,6.5,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6044,Danilho Doekhi,6.0,7.0,6.5,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6045,Yann Gboho,5.0,5.5,5.25,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6046,Daan Huisman,5.0,6.0,5.5,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6047,Loïs Openda,5.5,6.5,6,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6048,Dominik Oroz,---,---,---,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6049,Jacob Rasmussen,6.0,6.0,6,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6050,Markus Schubert,5.0,5.5,5.25,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6051,Sondre Tronstad,6.0,6.0,6,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6052,Maximilian Wittek,6.0,7.0,6.5,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6053,Team Ø,5.73,6.35,,Vitesse,Vitesse - Fortuna Sittard,18:45,25 September 2021
6054,Martin Angha,6.0,5.5,5.75,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6055,Samy Baghdadi,5.0,5.5,5.25,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6056,George Cox,5.0,6.0,5.5,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6057,Deroy Duarte,5.0,5.0,5,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6058,Ivo Pinto,5.5,6.0,5.75,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6059,Roel Janssen,6.0,6.0,6,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6060,Toshio Lake,---,---,---,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6061,Nigel Lonwijk,---,---,---,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6062,Richie Musaba,---,---,---,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6063,Tijjani Noslin,---,---,---,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6064,Ben Rienstra,6.0,5.5,5.75,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6065,Bassala Sambou,5.0,5.0,5,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6066,Mats Seuntjens,7.0,7.5,7.25,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6067,Tesfaldet Tekie,5.0,6.0,5.5,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6068,Yanick van Osch,7.0,7.0,7,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6069,Team Ø,5.68,5.91,,Fortuna Sittard,Vitesse - Fortuna Sittard,18:45,25 September 2021
6070,Nikolai Baden Frederiksen,---,---,---,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6071,Matúš Bero,5.0,6.0,5.5,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6072,Enzo Cornelisse,5.0,6.5,5.75,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6073,Oussama Darfalou,5.0,5.5,5.25,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6074,Eli Dasa,5.5,7.0,6.25,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6075,Danilho Doekhi,5.0,6.0,5.5,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6076,Yann Gboho,5.0,5.5,5.25,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6077,Hilary Gong,---,---,---,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6078,Loïs Openda,6.0,6.5,6.25,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6079,Jacob Rasmussen,5.0,6.5,5.75,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6080,Markus Schubert,4.0,5.5,4.75,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6081,Sondre Tronstad,5.0,6.0,5.5,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6082,Julian von Moos,---,---,---,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6083,Romaric Yapi,5.0,5.0,5,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6084,Team Ø,5.05,6,,Vitesse,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6085,Martijn Berden,---,---,---,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6086,Yacine Bourhane,---,---,---,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6087,Luuk Brouwers,7.5,7.0,7.25,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6088,Córdoba,7.0,7.5,7.25,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6089,Mats Deijl,6.0,6.0,6,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6090,Warner Hahn,6.5,6.0,6.25,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6091,Ogechika Heil,---,---,---,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6092,Jay Idzes,5.5,5.0,5.25,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6093,Joris Kramer,6.5,6.5,6.5,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6094,Bas Kuipers,7.0,6.5,6.75,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6095,Boyd Lucassen,6.5,6.0,6.25,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6096,Marc Cardona,5.0,6.5,5.75,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6097,Jacob Mulenga,---,---,---,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6098,Gerrit Nauber,---,---,---,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6099,Ragnar Oratmangoen,6.0,6.0,6,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6100,Philippe Rommens,5.5,6.0,5.75,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6101,Team Ø,6.27,6.27,,Go Ahead Eagles,Vitesse - Go Ahead Eagles,14:30,24 Oktober 2021
6102,Riechedly Bazoer,7.0,6.5,6.75,Vitesse,Vitesse - Heracles Almelo,14:30,12 December 2021
6103,Matúš Bero,7.0,6.0,6.5,Vitesse,Vitesse - Heracles Almelo,14:30,12 December 2021
6104,Thomas Buitink,5.5,6.0,5.75,Vitesse,Vitesse - Heracles Almelo,14:30,12 December 2021
6105,Eli Dasa,6.0,6.0,6,Vitesse,Vitesse - Heracles Almelo,14:30,12 December 2021
6106,Danilho Doekhi,7.0,7.0,7,Vitesse,Vitesse - Heracles Almelo,14:30,12 December 2021
6107,Jeroen Houwen,6.5,6.5,6.5,Vitesse,Vitesse - Heracles Almelo,14:30,12 December 2021
6108,Daan Huisman,5.0,6.0,5.5,Vitesse,Vitesse - Heracles Almelo,14:30,12 December 2021
